month,count
1-Nov-12,2
1-Dec-12,2
1-Jan-13,5
1-Feb-13,1
1-Mar-13,2
1-Apr-13,10
1-May-13,3
1-Jun-13,5
1-Jul-13,7
1-Aug-13,9
1-Sep-13,4
1-Oct-13,3
1-Nov-13,7
1-Dec-13,7
1-Jan-14,11
1-Feb-14,11
1-Mar-14,7
1-Apr-14,11
1-May-14,9
1-Jun-14,15
1-Jul-14,6
1-Aug-14,7
1-Sep-14,13
1-Oct-14,11
1-Nov-14,9
1-Dec-14,10
1-Jan-15,8
1-Feb-15,13
1-Mar-15,9
1-Apr-15,7
1-May-15,15
1-Jun-15,6
1-Jul-15,3
1-Aug-15,8
1-Sep-15,7
1-Oct-15,5
1-Nov-15,4
1-Dec-15,4
1-Jan-16,10
1-Feb-16,4
1-Mar-16,9
1-Apr-16,5
1-May-16,4
1-Jun-16,6
1-Jul-16,6
