month,count
1-Nov-12,1
1-Jan-13,7
1-Feb-13,2
1-Mar-13,6
1-Apr-13,7
1-May-13,4
1-Jun-13,3
1-Jul-13,8
1-Aug-13,6
1-Sep-13,9
1-Oct-13,10
1-Nov-13,4
1-Dec-13,7
1-Jan-14,4
1-Feb-14,6
1-Mar-14,11
1-Apr-14,6
1-May-14,8
1-Jun-14,6
1-Jul-14,3
1-Aug-14,5
1-Sep-14,8
1-Oct-14,8
1-Nov-14,5
1-Dec-14,6
1-Jan-15,13
1-Feb-15,15
1-Mar-15,7
1-Apr-15,1
1-May-15,5
1-Jun-15,5
1-Jul-15,5
1-Aug-15,6
1-Sep-15,6
1-Oct-15,5
1-Nov-15,6
1-Dec-15,17
1-Jan-16,2
1-Feb-16,6
1-Mar-16,2
1-Apr-16,3
1-May-16,5
1-Jun-16,2
1-Jul-16,1
1-Aug-16,1
