month,count
1-Nov-12,2
1-Dec-12,4
1-Jan-13,8
1-Feb-13,9
1-Mar-13,6
1-Apr-13,10
1-May-13,5
1-Jun-13,1
1-Jul-13,8
1-Aug-13,9
1-Sep-13,4
1-Oct-13,7
1-Nov-13,3
1-Dec-13,5
1-Jan-14,10
1-Feb-14,6
1-Mar-14,10
1-Apr-14,8
1-May-14,4
1-Jun-14,5
1-Jul-14,13
1-Aug-14,6
1-Sep-14,6
1-Oct-14,6
1-Nov-14,4
1-Dec-14,5
1-Jan-15,7
1-Feb-15,10
1-Mar-15,7
1-Apr-15,5
1-May-15,5
1-Jun-15,7
1-Jul-15,7
1-Aug-15,11
1-Sep-15,14
1-Oct-15,10
1-Nov-15,4
1-Dec-15,5
1-Jan-16,9
1-Feb-16,4
1-Mar-16,8
1-Apr-16,4
1-May-16,3
1-Jun-16,3
1-Jul-16,4
1-Aug-16,4
